#       energy         x-proj    sigmax 
#          MeV             um        um 
         1e-05  0.00060482403 0.00092783 
  1.023293e-05   0.0006143876 0.00093187 
 1.0471285e-05  0.00062390561 0.00094425 
 1.0715193e-05  0.00063340328 0.00095689 
 1.0964782e-05  0.00064290288 0.00096978 
 1.1220185e-05  0.00065242416 0.00098292 
 1.1481536e-05  0.00066198463 0.0009963 
 1.1748976e-05  0.00067159994 0.0010099 
 1.2022644e-05  0.00068128408 0.0010237 
 1.2302688e-05  0.00069104962 0.0010378 
 1.2589254e-05  0.00070090792 0.0010521 
 1.2882496e-05  0.00071086929 0.0010666 
 1.3182567e-05  0.00072094312 0.0010813 
 1.3489629e-05  0.00073113804 0.0010962 
 1.3803843e-05    0.000741462 0.0011113 
 1.4125375e-05  0.00075192239 0.0011267 
 1.4454398e-05   0.0007625261 0.0011422 
 1.4791084e-05  0.00077327962  0.001158 
 1.5135612e-05  0.00078418908  0.001174 
 1.5488166e-05  0.00079526033 0.0011902 
 1.5848932e-05  0.00080649896 0.0012067 
 1.6218101e-05  0.00081791037 0.0012233 
 1.6595869e-05  0.00082949978 0.0012402 
 1.6982437e-05  0.00084127228 0.0012574 
 1.7378008e-05  0.00085323286 0.0012747 
 1.7782794e-05  0.00086538643 0.0012923 
 1.8197009e-05  0.00087773783 0.0013102 
 1.8620871e-05  0.00089029189 0.0013282 
 1.9054607e-05  0.00090305338 0.0013466 
 1.9498446e-05   0.0009160271 0.0013652 
 1.9952623e-05  0.00092921782  0.001384 
 2.0417379e-05  0.00094263038 0.0014031 
 2.0892961e-05   0.0009562696 0.0014225 
 2.1379621e-05  0.00097014037 0.0014421 
 2.1877616e-05  0.00098424762  0.001462 
 2.2387211e-05  0.00099859636 0.0014822 
 2.2908677e-05   0.0010131916 0.0015027 
 2.3442288e-05   0.0010280385 0.0015234 
 2.3988329e-05   0.0010431423 0.0015445 
 2.4547089e-05   0.0010585083 0.0015658 
 2.5118864e-05   0.0010741418 0.0015875 
 2.5703958e-05   0.0010900483 0.0016095 
  2.630268e-05   0.0011062335 0.0016317 
 2.6915348e-05   0.0011227029 0.0016543 
 2.7542287e-05   0.0011394623 0.0016773 
 2.8183829e-05   0.0011565178 0.0017005 
 2.8840315e-05   0.0011738753 0.0017241 
 2.9512092e-05   0.0011915409 0.0017481 
 3.0199517e-05    0.001209521 0.0017724 
 3.0902954e-05   0.0012278219  0.001797 
 3.1622777e-05   0.0012464502 0.0018221 
 3.2359366e-05   0.0012654125 0.0018474 
 3.3113112e-05   0.0012847157 0.0018732 
 3.3884416e-05   0.0013043668 0.0018994 
 3.4673685e-05   0.0013243728 0.0019259 
 3.5481339e-05   0.0013447411 0.0019528 
 3.6307805e-05   0.0013654791 0.0019802 
 3.7153523e-05   0.0013865944 0.0020079 
  3.801894e-05   0.0014080947 0.0020361 
 3.8904514e-05    0.001429988 0.0020647 
 3.9810717e-05   0.0014522825 0.0020938 
 4.0738028e-05   0.0014749863 0.0021232 
 4.1686938e-05   0.0014981081 0.0021532 
 4.2657952e-05   0.0015216564 0.0021836 
 4.3651583e-05   0.0015456402 0.0022144 
 4.4668359e-05   0.0015700685 0.0022458 
 4.5708819e-05   0.0015949506 0.0022776 
 4.6773514e-05    0.001620296 0.0023099 
 4.7863009e-05   0.0016461144 0.0023427 
 4.8977882e-05   0.0016724158 0.0023761 
 5.0118723e-05   0.0016992103 0.0024099 
 5.1286138e-05   0.0017265082 0.0024443 
 5.2480746e-05   0.0017543202 0.0024793 
  5.370318e-05   0.0017826573 0.0025148 
 5.4954087e-05   0.0018115304 0.0025508 
 5.6234133e-05    0.001840951 0.0025874 
 5.7543994e-05   0.0018709308 0.0026246 
 5.8884366e-05   0.0019014817 0.0026624 
 6.0255959e-05   0.0019326157 0.0027008 
   6.16595e-05   0.0019643456 0.0027399 
 6.3095734e-05   0.0019966839 0.0027795 
 6.4565423e-05   0.0020296438 0.0028198 
 6.6069345e-05   0.0020632386 0.0028607 
 6.7608298e-05   0.0020974821 0.0029024 
 6.9183097e-05   0.0021323883 0.0029446 
 7.0794578e-05   0.0021679714 0.0029876 
 7.2443596e-05   0.0022042463 0.0030313 
 7.4131024e-05   0.0022412279 0.0030757 
 7.5857758e-05   0.0022789315 0.0031208 
 7.7624712e-05   0.0023173731 0.0031666 
 7.9432823e-05   0.0023565686 0.0032132 
 8.1283052e-05   0.0023965347 0.0032606 
 8.3176377e-05   0.0024372882 0.0033088 
 8.5113804e-05   0.0024788464 0.0033577 
 8.7096359e-05   0.0025212271 0.0034075 
 8.9125094e-05   0.0025644484 0.0034581 
 9.1201084e-05    0.002608529 0.0035096 
  9.332543e-05   0.0026534878 0.0035619 
 9.5499259e-05   0.0026993444 0.0036151 
 9.7723722e-05   0.0027461188 0.0036691 
        0.0001   0.0027938314 0.0037241 
  0.0001023293   0.0028425033   0.00378 
 0.00010471285   0.0028921557 0.0038369 
 0.00010715193   0.0029428109 0.0038947 
 0.00010964782   0.0029944912 0.0039536 
 0.00011220185   0.0030472198 0.0040134 
 0.00011481536   0.0031010203 0.0040742 
 0.00011748976    0.003155917 0.0041361 
 0.00012022644   0.0032119348  0.004199 
 0.00012302688   0.0032690989  0.004263 
 0.00012589254   0.0033274356 0.0043281 
 0.00012882496   0.0033869715 0.0043943 
 0.00013182567    0.003447734 0.0044617 
 0.00013489629   0.0035097512 0.0045302 
 0.00013803843   0.0035730519 0.0045999 
 0.00014125375   0.0036376654 0.0046708 
 0.00014454398    0.003703622  0.004743 
 0.00014791084   0.0037709528 0.0048164 
 0.00015135612   0.0038396893 0.0048911 
 0.00015488166   0.0039098642 0.0049671 
 0.00015848932   0.0039815107 0.0050444 
 0.00016218101   0.0040546632 0.0051231 
 0.00016595869   0.0041293566 0.0052032 
 0.00016982437   0.0042056268 0.0052847 
 0.00017378008   0.0042835107 0.0053676 
 0.00017782794   0.0043630461 0.0054519 
 0.00018197009   0.0044442716 0.0055378 
 0.00018620871    0.004527227 0.0056252 
 0.00019054607    0.004611953 0.0057141 
 0.00019498446   0.0046984913 0.0058046 
 0.00019952623   0.0047868847 0.0058968 
 0.00020417379   0.0048771771 0.0059905 
 0.00020892961   0.0049694135  0.006086 
 0.00021379621     0.00506364 0.0061832 
 0.00021877616    0.005159904 0.0062821 
 0.00022387211    0.005258254 0.0063827 
 0.00022908677   0.0053587398 0.0064852 
 0.00023442288   0.0054614124 0.0065896 
 0.00023988329   0.0055663241 0.0066958 
 0.00024547089   0.0056735287 0.0068039 
 0.00025118864   0.0057830812  0.006914 
 0.00025703958    0.005895038 0.0070261 
  0.0002630268   0.0060094571 0.0071403 
 0.00026915348   0.0061263979 0.0072565 
