#       energy         x-proj    sigmax 
#          MeV             um        um 
         1e-05  0.00046765155 0.00071816 
  1.023293e-05  0.00047570732 0.00071483 
 1.0471285e-05  0.00048345951 0.00072405 
 1.0715193e-05  0.00049097888 0.00073359 
 1.0964782e-05  0.00049832378 0.0007434 
 1.1220185e-05   0.0005055424 0.00075346 
 1.1481536e-05  0.00051267463 0.00076373 
 1.1748976e-05  0.00051975353 0.00077422 
 1.2022644e-05   0.0005268066 0.00078489 
 1.2302688e-05  0.00053385679 0.00079574 
 1.2589254e-05   0.0005409233 0.00080676 
 1.2882496e-05  0.00054802228 0.00081794 
 1.3182567e-05  0.00055516735 0.00082927 
 1.3489629e-05  0.00056237011 0.00084075 
 1.3803843e-05  0.00056964046 0.00085238 
 1.4125375e-05  0.00057698693 0.00086415 
 1.4454398e-05  0.00058441692 0.00087607 
 1.4791084e-05  0.00059193693 0.00088813 
 1.5135612e-05   0.0005995527 0.00090033 
 1.5488166e-05  0.00060726936 0.00091267 
 1.5848932e-05  0.00061509155 0.00092516 
 1.6218101e-05  0.00062302351 0.0009378 
 1.6595869e-05  0.00063106915 0.00095058 
 1.6982437e-05  0.00063923214 0.00096352 
 1.7378008e-05  0.00064751594 0.0009766 
 1.7782794e-05  0.00065592383 0.00098983 
 1.8197009e-05    0.000664459 0.0010032 
 1.8620871e-05  0.00067312452 0.0010168 
 1.9054607e-05  0.00068192341 0.0010305 
 1.9498446e-05  0.00069085864 0.0010444 
 1.9952623e-05  0.00069993313 0.0010584 
 2.0417379e-05  0.00070914981 0.0010726 
 2.0892961e-05  0.00071851161  0.001087 
 2.1379621e-05  0.00072802145 0.0011015 
 2.1877616e-05  0.00073768228 0.0011163 
 2.2387211e-05  0.00074749706 0.0011312 
 2.2908677e-05  0.00075746881 0.0011463 
 2.3442288e-05  0.00076760056 0.0011616 
 2.3988329e-05   0.0007778954  0.001177 
 2.4547089e-05  0.00078835646 0.0011927 
 2.5118864e-05  0.00079898692 0.0012086 
 2.5703958e-05  0.00080979001 0.0012247 
  2.630268e-05  0.00082076903 0.0012409 
 2.6915348e-05  0.00083192733 0.0012574 
 2.7542287e-05  0.00084326833 0.0012741 
 2.8183829e-05  0.00085479552  0.001291 
 2.8840315e-05  0.00086651243 0.0013082 
 2.9512092e-05  0.00087842271 0.0013256 
 3.0199517e-05  0.00089053003 0.0013431 
 3.0902954e-05  0.00090283818  0.001361 
 3.1622777e-05    0.000915351  0.001379 
 3.2359366e-05  0.00092807241 0.0013973 
 3.3113112e-05  0.00094100644 0.0014159 
 3.3884416e-05  0.00095415716 0.0014347 
 3.4673685e-05  0.00096752877 0.0014538 
 3.5481339e-05  0.00098112552 0.0014731 
 3.6307805e-05  0.00099495179 0.0014927 
 3.7153523e-05    0.001009012 0.0015125 
  3.801894e-05   0.0010233107 0.0015327 
 3.8904514e-05   0.0010378526 0.0015531 
 3.9810717e-05   0.0010526424 0.0015738 
 4.0738028e-05   0.0010676849 0.0015948 
 4.1686938e-05   0.0010829851  0.001616 
 4.2657952e-05   0.0010985481 0.0016376 
 4.3651583e-05    0.001114379 0.0016595 
 4.4668359e-05   0.0011304831 0.0016817 
 4.5708819e-05   0.0011468658 0.0017042 
 4.6773514e-05   0.0011635325 0.0017271 
 4.7863009e-05   0.0011804891 0.0017503 
 4.8977882e-05   0.0011977411 0.0017738 
 5.0118723e-05   0.0012152945 0.0017976 
 5.1286138e-05   0.0012331553 0.0018218 
 5.2480746e-05   0.0012513297 0.0018464 
  5.370318e-05   0.0012698239 0.0018713 
 5.4954087e-05   0.0012886443 0.0018966 
 5.6234133e-05   0.0013077976 0.0019223 
 5.7543994e-05   0.0013272904 0.0019483 
 5.8884366e-05   0.0013471295 0.0019747 
 6.0255959e-05   0.0013673221 0.0020016 
   6.16595e-05   0.0013878752 0.0020288 
 6.3095734e-05   0.0014087962 0.0020564 
 6.4565423e-05   0.0014300926 0.0020845 
 6.6069345e-05    0.001451772  0.002113 
 6.7608298e-05   0.0014738423 0.0021419 
 6.9183097e-05   0.0014963116 0.0021713 
 7.0794578e-05   0.0015191879 0.0022011 
 7.2443596e-05   0.0015424797 0.0022314 
 7.4131024e-05   0.0015661955 0.0022621 
 7.5857758e-05   0.0015903442 0.0022934 
 7.7624712e-05   0.0016149346 0.0023251 
 7.9432823e-05    0.001639976 0.0023573 
 8.1283052e-05   0.0016654776   0.00239 
 8.3176377e-05   0.0016914492 0.0024232 
 8.5113804e-05   0.0017179006 0.0024569 
 8.7096359e-05   0.0017448417 0.0024912 
 8.9125094e-05   0.0017722828  0.002526 
 9.1201084e-05   0.0018002346 0.0025614 
  9.332543e-05   0.0018287076 0.0025973 
 9.5499259e-05   0.0018577129 0.0026339 
 9.7723722e-05   0.0018872619  0.002671 
        0.0001   0.0019173659 0.0027087 
  0.0001023293   0.0019480368  0.002747 
 0.00010471285   0.0019792867 0.0027859 
 0.00010715193   0.0020111279 0.0028254 
 0.00010964782   0.0020435731 0.0028656 
 0.00011220185   0.0020766351 0.0029065 
 0.00011481536   0.0021103273  0.002948 
 0.00011748976   0.0021446632 0.0029902 
 0.00012022644   0.0021796567 0.0030331 
 0.00012302688   0.0022153219 0.0030767 
 0.00012589254   0.0022516735 0.0031211 
 0.00012882496   0.0022887264 0.0031661 
 0.00013182567   0.0023264957 0.0032119 
 0.00013489629   0.0023649971 0.0032585 
 0.00013803843   0.0024042466 0.0033059 
 0.00014125375   0.0024442605  0.003354 
 0.00014454398   0.0024850557  0.003403 
 0.00014791084   0.0025266493 0.0034528 
 0.00015135612    0.002569059 0.0035034 
 0.00015488166   0.0026123026 0.0035549 
 0.00015848932   0.0026563988 0.0036072 
 0.00016218101   0.0027013663 0.0036605 
 0.00016595869   0.0027472246 0.0037146 
 0.00016982437   0.0027939935 0.0037697 
 0.00017378008   0.0028416933 0.0038258 
 0.00017782794   0.0028903449 0.0038828 
 0.00018197009   0.0029399696 0.0039407 
 0.00018620871   0.0029905893 0.0039997 
 0.00019054607   0.0030422264 0.0040597 
 0.00019498446   0.0030949039 0.0041208 
 0.00019952623   0.0031486452 0.0041829 
 0.00020417379   0.0032034746  0.004246 
 0.00020892961   0.0032594167 0.0043103 
 0.00021379621   0.0033164969 0.0043758 
 0.00021877616   0.0033747412 0.0044423 
 0.00022387211   0.0034341763 0.0045101 
 0.00022908677   0.0034948293  0.004579 
 0.00023442288   0.0035567283 0.0046491 
 0.00023988329    0.003619902 0.0047205 
 0.00024547089   0.0036843799 0.0047932 
 0.00025118864   0.0037501921 0.0048672 
 0.00025703958   0.0038173695 0.0049424 
  0.0002630268   0.0038859439 0.0050191 
 0.00026915348   0.0039559478 0.0050971 
 0.00027542287   0.0040274145 0.0051765 
 0.00028183829   0.0041003784 0.0052573 
 0.00028840315   0.0041748745 0.0053396 
 0.00029512092   0.0042509389 0.0054234 
 0.00030199517   0.0043286084 0.0055087 
 0.00030902954   0.0044079209 0.0055955 
 0.00031622777   0.0044889154 0.0056839 
 0.00032359366   0.0045716317 0.0057739 
 0.00033113112   0.0046561107 0.0058656 
 0.00033884416   0.0047423945  0.005959 
 0.00034673685    0.004830526  0.006054 
 0.00035481339   0.0049205496 0.0061509 
 0.00036307805   0.0050125105 0.0062495 
 0.00037153523   0.0051064553 0.0063499 
  0.0003801894   0.0052024318 0.0064521 
 0.00038904514    0.005300489 0.0065563 
 0.00039810717   0.0054006772 0.0066624 
 0.00040738028    0.005503048 0.0067705 
 0.00041686938   0.0056076546 0.0068806 
 0.00042657952   0.0057145513 0.0069927 
 0.00043651583   0.0058237939  0.007107 
 0.00044668359   0.0059354397 0.0072234 
 0.00045708819   0.0060495478  0.007342 
 0.00046773514   0.0061661784 0.0074628 
