#       energy         x-proj    sigmax 
#          MeV             um        um 
         1e-05  0.00059255376 0.00098402 
  1.023293e-05  0.00060161163 0.00099364 
 1.0471285e-05  0.00061066514  0.001007 
 1.0715193e-05  0.00061973367 0.0010207 
 1.0964782e-05  0.00062883447 0.0010346 
 1.1220185e-05  0.00063798288 0.0010487 
 1.1481536e-05  0.00064719265  0.001063 
 1.1748976e-05  0.00065647613 0.0010776 
 1.2022644e-05  0.00066584445 0.0010923 
 1.2302688e-05  0.00067530771 0.0011073 
 1.2589254e-05  0.00068487512 0.0011226 
 1.2882496e-05  0.00069455508  0.001138 
 1.3182567e-05  0.00070435537 0.0011537 
 1.3489629e-05  0.00071428316 0.0011695 
 1.3803843e-05  0.00072434518 0.0011856 
 1.4125375e-05  0.00073454769 0.0012019 
 1.4454398e-05  0.00074489664 0.0012185 
 1.4791084e-05  0.00075539767 0.0012352 
 1.5135612e-05  0.00076605617 0.0012522 
 1.5488166e-05  0.00077687731 0.0012694 
 1.5848932e-05  0.00078786612 0.0012869 
 1.6218101e-05  0.00079902747 0.0013046 
 1.6595869e-05  0.00081036611 0.0013225 
 1.6982437e-05  0.00082188674 0.0013407 
 1.7378008e-05  0.00083359396 0.0013591 
 1.7782794e-05  0.00084549234 0.0013777 
 1.8197009e-05  0.00085758644 0.0013967 
 1.8620871e-05  0.00086988078 0.0014158 
 1.9054607e-05   0.0008823799 0.0014353 
 1.9498446e-05  0.00089508835 0.0014549 
 1.9952623e-05  0.00090801071 0.0014749 
 2.0417379e-05  0.00092115157 0.0014952 
 2.0892961e-05   0.0009345156 0.0015157 
 2.1379621e-05  0.00094810749 0.0015365 
 2.1877616e-05    0.000961932 0.0015576 
 2.2387211e-05  0.00097599397 0.0015789 
 2.2908677e-05  0.00099029829 0.0016006 
 2.3442288e-05   0.0010048499 0.0016226 
 2.3988329e-05    0.001019654 0.0016449 
 2.4547089e-05   0.0010347155 0.0016675 
 2.5118864e-05   0.0010500398 0.0016904 
 2.5703958e-05   0.0010656322 0.0017137 
  2.630268e-05   0.0010814982 0.0017372 
 2.6915348e-05   0.0010976432 0.0017612 
 2.7542287e-05   0.0011140729 0.0017854 
 2.8183829e-05   0.0011307931   0.00181 
 2.8840315e-05   0.0011478097  0.001835 
 2.9512092e-05   0.0011651286 0.0018603 
 3.0199517e-05    0.001182756  0.001886 
 3.0902954e-05   0.0012006981  0.001912 
 3.1622777e-05   0.0012189614 0.0019385 
 3.2359366e-05   0.0012375523 0.0019653 
 3.3113112e-05   0.0012564775 0.0019925 
 3.3884416e-05   0.0012757438 0.0020201 
 3.4673685e-05   0.0012953581 0.0020481 
 3.5481339e-05   0.0013153276 0.0020766 
 3.6307805e-05   0.0013356596 0.0021054 
 3.7153523e-05   0.0013563613 0.0021347 
  3.801894e-05   0.0013774405 0.0021645 
 3.8904514e-05   0.0013989049 0.0021946 
 3.9810717e-05   0.0014207624 0.0022252 
 4.0738028e-05    0.001443021 0.0022563 
 4.1686938e-05   0.0014656891 0.0022879 
 4.2657952e-05   0.0014887751 0.0023199 
 4.3651583e-05   0.0015122877 0.0023524 
 4.4668359e-05   0.0015362357 0.0023854 
 4.5708819e-05   0.0015606282 0.0024189 
 4.6773514e-05   0.0015854744 0.0024529 
 4.7863009e-05   0.0016107837 0.0024874 
 4.8977882e-05   0.0016365659 0.0025225 
 5.0118723e-05   0.0016628309 0.0025581 
 5.1286138e-05   0.0016895887 0.0025942 
 5.2480746e-05   0.0017168497 0.0026309 
  5.370318e-05   0.0017446245 0.0026682 
 5.4954087e-05   0.0017729239 0.0027061 
 5.6234133e-05   0.0018017589 0.0027445 
 5.7543994e-05    0.001831141 0.0027836 
 5.8884366e-05   0.0018610817 0.0028232 
 6.0255959e-05   0.0018915928 0.0028635 
   6.16595e-05   0.0019226865 0.0029044 
 6.3095734e-05   0.0019543752 0.0029459 
 6.4565423e-05   0.0019866716 0.0029881 
 6.6069345e-05   0.0020195886  0.003031 
 6.7608298e-05   0.0020531396 0.0030745 
 6.9183097e-05   0.0020873382 0.0031187 
 7.0794578e-05   0.0021221983 0.0031637 
 7.2443596e-05   0.0021577341 0.0032093 
 7.4131024e-05   0.0021939603 0.0032557 
 7.5857758e-05   0.0022308916 0.0033028 
 7.7624712e-05   0.0022685435 0.0033507 
 7.9432823e-05   0.0023069315 0.0033993 
 8.1283052e-05   0.0023460716 0.0034488 
 8.3176377e-05   0.0023859803  0.003499 
 8.5113804e-05   0.0024266742   0.00355 
 8.7096359e-05   0.0024681706 0.0036018 
 8.9125094e-05   0.0025104869 0.0036545 
 9.1201084e-05   0.0025536412 0.0037081 
  9.332543e-05   0.0025976519 0.0037625 
 9.5499259e-05   0.0026425379 0.0038178 
 9.7723722e-05   0.0026883184  0.003874 
        0.0001   0.0027350133 0.0039311 
  0.0001023293   0.0027826427 0.0039892 
 0.00010471285   0.0028312273 0.0040482 
 0.00010715193   0.0028807885  0.004107 
 0.00010964782   0.0029313478 0.0041674 
 0.00011220185   0.0029829277 0.0042289 
 0.00011481536   0.0030355508 0.0042913 
 0.00011748976   0.0030892406 0.0043548 
 0.00012022644   0.0031440208 0.0044192 
 0.00012302688   0.0031999161 0.0044848 
 0.00012589254   0.0032569515 0.0045514 
 0.00012882496   0.0033151526 0.0046191 
