#       energy         x-proj    sigmax 
#          MeV             um        um 
         1e-05  0.00046106296 0.00078238 
  1.023293e-05  0.00046887531 0.00078339 
 1.0471285e-05  0.00047636492 0.00079371 
 1.0715193e-05  0.00048361513 0.00080434 
 1.0964782e-05  0.00049069275 0.00081523 
 1.1220185e-05  0.00049765144 0.00082636 
 1.1481536e-05  0.00050453436 0.00083771 
 1.1748976e-05  0.00051137635 0.00084926 
 1.2022644e-05  0.00051820562 0.00086099 
 1.2302688e-05  0.00052504508 0.00087289 
 1.2589254e-05  0.00053191344 0.00088496 
 1.2882496e-05  0.00053882604 0.00089719 
 1.3182567e-05  0.00054579557 0.00090958 
 1.3489629e-05  0.00055283258 0.00092212 
 1.3803843e-05  0.00055994592 0.00093481 
 1.4125375e-05  0.00056714311 0.00094765 
 1.4454398e-05  0.00057443057 0.00096064 
 1.4791084e-05  0.00058181391 0.00097379 
 1.5135612e-05  0.00058929803 0.00098708 
 1.5488166e-05  0.00059688733 0.0010005 
 1.5848932e-05  0.00060458576 0.0010141 
 1.6218101e-05  0.00061239698 0.0010279 
 1.6595869e-05  0.00062032436 0.0010418 
 1.6982437e-05  0.00062837111 0.0010559 
 1.7378008e-05  0.00063654026 0.0010702 
 1.7782794e-05  0.00064483476 0.0010846 
 1.8197009e-05  0.00065325747 0.0010992 
 1.8620871e-05  0.00066181119 0.0011139 
 1.9054607e-05   0.0006704987 0.0011289 
 1.9498446e-05  0.00067932277  0.001144 
 1.9952623e-05  0.00068828614 0.0011593 
 2.0417379e-05  0.00069739159 0.0011747 
 2.0892961e-05   0.0007066419 0.0011904 
 2.1379621e-05  0.00071603988 0.0012063 
 2.1877616e-05  0.00072558839 0.0012223 
 2.2387211e-05   0.0007352903 0.0012386 
 2.2908677e-05  0.00074514854 0.0012551 
 2.3442288e-05  0.00075516608 0.0012717 
 2.3988329e-05  0.00076534596 0.0012886 
 2.4547089e-05  0.00077569124 0.0013057 
 2.5118864e-05  0.00078620506  0.001323 
 2.5703958e-05  0.00079689063 0.0013405 
  2.630268e-05  0.00080775119 0.0013583 
 2.6915348e-05  0.00081879007 0.0013763 
 2.7542287e-05  0.00083001065 0.0013945 
 2.8183829e-05   0.0008414164  0.001413 
 2.8840315e-05  0.00085301085 0.0014317 
 2.9512092e-05  0.00086479758 0.0014506 
 3.0199517e-05  0.00087678028 0.0014698 
 3.0902954e-05   0.0008889627 0.0014893 
 3.1622777e-05  0.00090134866  0.001509 
 3.2359366e-05  0.00091394208  0.001529 
 3.3113112e-05  0.00092674696 0.0015492 
 3.3884416e-05  0.00093976736 0.0015698 
 3.4673685e-05  0.00095300746 0.0015906 
 3.5481339e-05  0.00096647151 0.0016117 
 3.6307805e-05  0.00098016385  0.001633 
 3.7153523e-05  0.00099408891 0.0016547 
  3.801894e-05   0.0010082512 0.0016767 
 3.8904514e-05   0.0010226555  0.001699 
 3.9810717e-05   0.0010373063 0.0017216 
 4.0738028e-05   0.0010522086 0.0017445 
 4.1686938e-05   0.0010673673 0.0017677 
 4.2657952e-05   0.0010827874 0.0017913 
 4.3651583e-05   0.0010984741 0.0018152 
 4.4668359e-05   0.0011144326 0.0018394 
 4.5708819e-05   0.0011306684  0.001864 
 4.6773514e-05   0.0011471869  0.001889 
 4.7863009e-05   0.0011639937 0.0019143 
 4.8977882e-05   0.0011810947   0.00194 
 5.0118723e-05   0.0011984955  0.001966 
 5.1286138e-05   0.0012162024 0.0019924 
 5.2480746e-05   0.0012342213 0.0020192 
  5.370318e-05   0.0012525585 0.0020464 
 5.4954087e-05   0.0012712205  0.002074 
 5.6234133e-05   0.0012902138 0.0021021 
 5.7543994e-05   0.0013095451 0.0021305 
 5.8884366e-05   0.0013292211 0.0021593 
 6.0255959e-05    0.001349249 0.0021886 
   6.16595e-05   0.0013696358 0.0022183 
 6.3095734e-05   0.0013903889 0.0022485 
 6.4565423e-05   0.0014115158 0.0022791 
 6.6069345e-05    0.001433024 0.0023102 
 6.7608298e-05   0.0014549213 0.0023418 
 6.9183097e-05   0.0014772159 0.0023738 
 7.0794578e-05   0.0014999158 0.0024063 
 7.2443596e-05   0.0015230293 0.0024394 
 7.4131024e-05   0.0015465651 0.0024729 
 7.5857758e-05   0.0015705319  0.002507 
 7.7624712e-05   0.0015949386 0.0025415 
