#       energy         x-proj    sigmax 
#          MeV             um        um 
1e-05   0.0005718556 0.00098969 
1.023293e-05  0.00058017308 0.0010045 
1.0471285e-05  0.00058854787 0.0010183 
1.0715193e-05  0.00059698929 0.0010322 
1.0964782e-05  0.00060550596 0.0010463 
1.1220185e-05  0.00061410585 0.0010606 
1.1481536e-05  0.00062279639 0.0010751 
1.1748976e-05  0.00063158448 0.0010898 
1.2022644e-05  0.00064047662 0.0011046 
1.2302688e-05   0.0006494789 0.0011197 
1.2589254e-05  0.00065859711  0.001135 
1.2882496e-05  0.00066783672 0.0011505 
1.3182567e-05  0.00067720297 0.0011662 
1.3489629e-05  0.00068670087 0.0011821 
1.3803843e-05  0.00069633526 0.0011983 
1.4125375e-05   0.0007061108 0.0012146 
1.4454398e-05  0.00071603203 0.0012311 
1.4791084e-05  0.00072610338 0.0012479 
1.5135612e-05  0.00073632918 0.0012649 
1.5488166e-05  0.00074671369 0.0012821 
1.5848932e-05  0.00075726113 0.0012995 
1.6218101e-05  0.00076797564 0.0013172 
1.6595869e-05  0.00077886137 0.0013351 
1.6982437e-05  0.00078992242 0.0013532 
1.7378008e-05   0.0008011629 0.0013715 
1.7782794e-05  0.00081258693 0.0013901 
1.8197009e-05  0.00082419862  0.001409 
1.8620871e-05  0.00083600212 0.0014281 
1.9054607e-05  0.00084800159 0.0014474 
1.9498446e-05  0.00086020125  0.001467 
1.9952623e-05  0.00087260534 0.0014869 
2.0417379e-05  0.00088521815  0.001507 
2.0892961e-05  0.00089804403 0.0015274 
2.1379621e-05  0.00091108739 0.0015481 
2.1877616e-05  0.00092435269  0.001569 
2.2387211e-05  0.00093784447 0.0015902 
2.2908677e-05  0.00095156734 0.0016117 
2.3442288e-05  0.00096552598 0.0016335 
2.3988329e-05  0.00097972515 0.0016556 
2.4547089e-05   0.0009941697  0.001678 
2.5118864e-05   0.0010088646 0.0017007 
2.5703958e-05   0.0010238148 0.0017237 
2.630268e-05   0.0010390255 0.0017471 
2.6915348e-05   0.0010545018 0.0017707 
2.7542287e-05   0.0010702492 0.0017947 
2.8183829e-05    0.001086273  0.001819 
2.8840315e-05   0.0011025788 0.0018436 
2.9512092e-05   0.0011191722 0.0018686 
3.0199517e-05    0.001136059 0.0018939 
3.0902954e-05    0.001153245 0.0019196 
3.1622777e-05   0.0011707363 0.0019456 
3.2359366e-05    0.001188539  0.001972 
3.3113112e-05   0.0012066593 0.0019987 
3.3884416e-05   0.0012251037 0.0020259 
3.4673685e-05   0.0012438786 0.0020534 
3.5481339e-05   0.0012629907 0.0020813 
3.6307805e-05   0.0012824469 0.0021096 
3.7153523e-05    0.001302254 0.0021383 
3.801894e-05   0.0013224192 0.0021674 
3.8904514e-05   0.0013429497  0.002197 
3.9810717e-05   0.0013638529 0.0022269 
4.0738028e-05   0.0013851365 0.0022573 
4.1686938e-05    0.001406808 0.0022881 
4.2657952e-05   0.0014288755 0.0023193 
4.3651583e-05    0.001451347  0.002351 
4.4668359e-05   0.0014742307 0.0023832 
4.5708819e-05   0.0014975352 0.0024158 
4.6773514e-05   0.0015212689 0.0024489 
4.7863009e-05   0.0015454408 0.0024825 
4.8977882e-05   0.0015700597 0.0025165 
5.0118723e-05    0.001595135 0.0025511 
5.1286138e-05    0.001620676 0.0025861 
5.2480746e-05   0.0016466924 0.0026217 
5.370318e-05   0.0016731939 0.0026578 
5.4954087e-05   0.0017001906 0.0026944 
5.6234133e-05   0.0017276928 0.0027315 
5.7543994e-05   0.0017557109 0.0027692 
5.8884366e-05   0.0017842558 0.0028075 
6.0255959e-05   0.0018133384 0.0028463 
6.16595e-05   0.0018429698 0.0028856 
6.3095734e-05   0.0018731617 0.0029256 
6.4565423e-05   0.0019039257 0.0029661 
6.6069345e-05   0.0019352738 0.0030073 
6.7608298e-05   0.0019672182  0.003049 
6.9183097e-05   0.0019997716 0.0030914 
7.0794578e-05   0.0020329467 0.0031344 
7.2443596e-05   0.0020667567 0.0031781 
7.4131024e-05    0.002101215 0.0032223 
7.5857758e-05   0.0021363353 0.0032673 
7.7624712e-05   0.0021721317 0.0033129 
7.9432823e-05   0.0022086184 0.0033592 
8.1283052e-05   0.0022458103 0.0034062 
8.3176377e-05   0.0022837222 0.0034539 
8.5113804e-05   0.0023223696 0.0035023 
8.7096359e-05   0.0023617683 0.0035515 
8.9125094e-05   0.0024019341 0.0036013 
9.1201084e-05   0.0024428837  0.003652 
9.332543e-05   0.0024846338 0.0037034 
9.5499259e-05   0.0025272017 0.0037555 
9.7723722e-05   0.0025706049 0.0038085 
0.0001   0.0026148615 0.0038622 
0.0001023293   0.0026599898 0.0039168 
0.00010471285   0.0027060089 0.0039722 
0.00010715193   0.0027529379 0.0040284 
0.00010964782   0.0028007967 0.0040854 
0.00011220185   0.0028496053 0.0041434 
0.00011481536   0.0028993845 0.0042022 
0.00011748976   0.0029501555 0.0042619 
0.00012022644   0.0030019399 0.0043225 
0.00012302688   0.0030547599  0.004384 
0.00012589254    0.003108638 0.0044465 
0.00012882496   0.0031635976 0.0045099 
0.00013182567   0.0032196624 0.0045743 
0.00013489629   0.0032768567 0.0046397 
0.00013803843   0.0033352053  0.004706 
0.00014125375   0.0033947337 0.0047734 
0.00014454398    0.003455468 0.0048418 
0.00014791084   0.0035174348 0.0049112 
0.00015135612   0.0035806615 0.0049817 
0.00015488166   0.0036451759 0.0050532 
0.00015848932   0.0037110067 0.0051259 
0.00016218101   0.0037781832 0.0051996 
0.00016595869   0.0038467352 0.0052745 
0.00016982437   0.0039166935 0.0053506 
0.00017378008   0.0039880894 0.0054278 
0.00017782794   0.0040609551 0.0055061 
0.00018197009   0.0041353235 0.0055857 
0.00018620871   0.0042112282 0.0056665 
0.00019054607   0.0042887038 0.0057485 
0.00019498446   0.0043677854 0.0058317 
0.00019952623   0.0044485092 0.0059163 
0.00020417379   0.0045309122 0.0060021 
0.00020892961   0.0046150322 0.0060892 
0.00021379621    0.004700908 0.0061777 
0.00021877616   0.0047885792 0.0062675 
0.00022387211   0.0048780864 0.0063587 
0.00022908677   0.0049694711 0.0064512 
0.00023442288   0.0050627759 0.0065452 
0.00023988329   0.0051580443 0.0066406 
0.00024547089   0.0052553209 0.0067375 
0.00025118864   0.0053546514 0.0068358 
0.00025703958   0.0054560823 0.0069356 
0.0002630268   0.0055596615  0.007037 
0.00026915348    0.005665438 0.0071398 
0.00027542287   0.0057734617 0.0072443 
0.00028183829    0.005883784 0.0073503 
0.00028840315   0.0059964573 0.0074579 
0.00029512092   0.0061115353 0.0075672 
0.00030199517   0.0062290729 0.0076781 
0.00030902954   0.0063491264 0.0077907 
0.00031622777   0.0064717533 0.0079049 
0.00032359366   0.0065970125 0.0080209 
0.00033113112   0.0067249644 0.0081387 
0.00033884416   0.0068556705 0.0082582 
0.00034673685   0.0069891939 0.0083795 
0.00035481339   0.0071255993 0.0085027 
0.00036307805   0.0072649527 0.0086276 
0.00037153523   0.0074073217 0.0087545 
0.0003801894   0.0075527755 0.0088832 
0.00038904514   0.0077013848 0.0090139 
0.00039810717   0.0078532219 0.0091465 
0.00040738028    0.008008361 0.0092811 
0.00041686938   0.0081668778 0.0094176 
0.00042657952   0.0083288496 0.0095562 
0.00043651583   0.0084943558 0.0096969 
0.00044668359   0.0086634773 0.0098396 
0.00045708819    0.008836297 0.0099844 
0.00046773514   0.0090128997  0.010131 
0.00047863009   0.0091933718   0.01028 
0.00048977882   0.0093778021  0.010432 
0.00050118723    0.009566281  0.010585 
0.00051286138   0.0097589011  0.010741 
0.00052480746   0.0099557571  0.010899 
0.0005370318    0.010156946  0.011059 
0.00054954087    0.010362566  0.011222 
0.00056234133    0.010572718  0.011387 
0.00057543994    0.010787506  0.011554 
0.00058884366    0.011007035  0.011724 
0.00060255959    0.011231413  0.011896 
0.000616595    0.011460749   0.01207 
0.00063095734    0.011695158  0.012247 
0.00064565423    0.011934752  0.012427 
0.00066069345     0.01217965  0.012609 
0.00067608298    0.012429971  0.012793 
0.00069183097    0.012685838  0.012981 
0.00070794578    0.012947375   0.01317 
0.00072443596     0.01321471  0.013363 
0.00074131024    0.013487973  0.013558 
0.00075857758    0.013767297  0.013756 
0.00077624712    0.014052818  0.013956 
0.00079432823    0.014344673   0.01416 
0.00081283052    0.014643004  0.014365 
0.00083176377    0.014947954  0.014574 
0.00085113804    0.015259672  0.014786 
0.00087096359    0.015578305     0.015 
0.00089125094    0.015904008  0.015218 
0.00091201084    0.016236935  0.015438 
0.0009332543    0.016577246  0.015661 
0.00095499259    0.016925103  0.015887 
0.00097723722     0.01728067  0.016116 
0.001    0.017644116  0.016348 
0.001023293    0.018015611  0.016583 
0.0010471285    0.018395331  0.016821 
0.0010715193    0.018783453  0.017062 
0.0010964782    0.019180159  0.017306 
0.0011220185    0.019585632  0.017553 
0.0011481536    0.020000062  0.017803 
0.0011748976    0.020423638  0.018056 
0.0012022644    0.020856557  0.018313 
0.0012302688    0.021299015  0.018572 
0.0012589254    0.021751215  0.018835 
0.0012882496    0.022213362  0.019101 
0.0013182567    0.022685665   0.01937 
0.0013489629    0.023168336  0.019642 
0.0013803843    0.023661591  0.019918 
0.0014125375    0.024165651  0.020196 
0.0014454398    0.024680738  0.020478 
0.0014791084     0.02520708  0.020764 
0.0015135612    0.025744908  0.021052 
0.0015488166    0.026294457  0.021344 
0.0015848932    0.026855965  0.021639 
0.0016218101    0.027429674  0.021937 
0.0016595869    0.028015831  0.022239 
0.0016982437    0.028614686  0.022544 
0.0017378008    0.029226493  0.022852 
0.0017782794     0.02985151  0.023163 
0.0018197009    0.030489999  0.023478 
0.0018620871    0.031142226  0.023796 
0.0019054607     0.03180846  0.024117 
0.0019498446    0.032488976  0.024442 
0.0019952623    0.033184052   0.02477 
0.0020417379     0.03389397  0.025101 
0.0020892961    0.034619015  0.025435 
0.0021379621    0.035359478  0.025773 
0.0021877616    0.036115654  0.026114 
0.0022387211     0.03688784  0.026458 
0.0022908677    0.037676339  0.026806 
0.0023442288    0.038481458  0.027157 
0.0023988329    0.039303508  0.027511 
0.0024547089    0.040142803  0.027868 
0.0025118864    0.040999663  0.028228 
0.0025703958    0.041874411  0.028592 
0.002630268    0.042767375  0.028958 
0.0026915348    0.043678887  0.029328 
0.0027542287    0.044609281  0.029701 
0.0028183829      0.0455589  0.030077 
0.0028840315    0.046528087  0.030456 
0.0029512092     0.04751719  0.030838 
0.0030199517    0.048526563  0.031223 
0.0030902954    0.049556564  0.031611 
0.0031622777    0.050607553  0.032002 
0.0032359366    0.051679896  0.032396 
0.0033113112    0.052773964  0.032793 
0.0033884416     0.05389013  0.033192 
0.0034673685    0.055028774  0.033595 
0.0035481339    0.056190278     0.034 
0.0036307805     0.05737503  0.034408 
0.0037153523    0.058583421  0.034819 
0.003801894    0.059815847  0.035232 
0.0038904514    0.061072708  0.035648 
0.0039810717    0.062354409  0.036067 
0.0040738028    0.063661359  0.036488 
0.0041686938    0.064993971  0.036912 
0.0042657952    0.066352662  0.037338 
0.0043651583    0.067737855  0.037766 
0.0044668359    0.069149976  0.038197 
0.0045708819    0.070589455  0.038631 
0.0046773514    0.072056729  0.039066 
0.0047863009    0.073552235  0.039504 
0.0048977882    0.075076419  0.039944 
0.0050118723    0.076629729  0.040385 
0.0051286138    0.078212617  0.040829 
0.0052480746    0.079825542  0.041275 
0.005370318    0.081468964  0.041723 
0.0054954087    0.083143349  0.042173 
0.0056234133     0.08484917  0.042625 
0.0057543994    0.086586901  0.043078 
0.0058884366    0.088357021  0.043534 
0.0060255959    0.090160016   0.04399 
0.00616595    0.091996374  0.044449 
0.0063095734    0.093866589  0.044909 
0.0064565423    0.095771159   0.04537 
0.0066069345    0.097710587  0.045833 
0.0067608298    0.099685382  0.046297 
0.0069183097     0.10169605  0.046763 
0.0070794578     0.10374312  0.047229 
0.0072443596     0.10582711  0.047697 
0.0074131024     0.10794853  0.048166 
0.0075857758     0.11010794  0.048636 
0.0077624712     0.11230585  0.049107 
0.0079432823     0.11454282  0.049579 
0.0081283052     0.11681939  0.050052 
0.0083176377     0.11913611  0.050525 
0.0085113804     0.12149354     0.051 
0.0087096359     0.12389223  0.051475 
0.0089125094     0.12633276   0.05195 
0.0091201084      0.1288157  0.052426 
0.009332543     0.13134163  0.052902 
0.0095499259     0.13391112  0.053379 
0.0097723722     0.13652477  0.053856 
0.01     0.13918316  0.054334 
0.01023293     0.14188691  0.054811 
0.010471285      0.1446366  0.055289 
0.010715193     0.14743286  0.055767 
0.010964782      0.1502763  0.056245 
0.011220185     0.15316753  0.056723 
0.011481536      0.1561072    0.0572 
0.011748976     0.15909592  0.057678 
0.012022644     0.16213434  0.058155 
0.012302688     0.16522311  0.058632 
0.012589254     0.16836288  0.059108 
0.012882496      0.1715543  0.059584 
0.013182567     0.17479803   0.06006 
0.013489629     0.17809476  0.060535 
0.013803843     0.18144515  0.061009 
0.014125375      0.1848499  0.061483 
0.014454398     0.18830968  0.061956 
0.014791084     0.19182521  0.062429 
0.015135612     0.19539717    0.0629 
0.015488166     0.19902629  0.063371 
0.015848932     0.20271328   0.06384 
0.016218101     0.20645887  0.064309 
0.016595869     0.21026378  0.064777 
0.016982437     0.21412877  0.065243 
0.017378008     0.21805458  0.065708 
0.017782794     0.22204196  0.066173 
0.018197009     0.22609167  0.066636 
0.018620871      0.2302045  0.067097 
0.019054607     0.23438121  0.067557 
0.019498446      0.2386226  0.068016 
0.019952623     0.24292946  0.068474 
0.020417379      0.2473026   0.06893 
0.020892961     0.25174283  0.069384 
0.021379621     0.25625096  0.069837 
0.021877616     0.26082784  0.070288 
0.022387211      0.2654743  0.070738 
0.022908677     0.27019118  0.071186 
0.023442288     0.27497936  0.071632 
0.023988329     0.27983968  0.072076 
0.024547089     0.28477304  0.072519 
0.025118864     0.28978049   0.07296 
0.025703958     0.29486829  0.073399 
0.02630268     0.30004036  0.073838 
0.026915348     0.30529829  0.074275 
0.027542287     0.31064374  0.074711 
0.028183829     0.31607843  0.075146 
0.028840315     0.32160413   0.07558 
0.029512092     0.32722268  0.076013 
0.030199517     0.33293599  0.076445 
0.030902954     0.33874602  0.076877 
0.031622777     0.34465482  0.077307 
